guia,origen,destino,estado,costo_flete,despacho_dia,despacho_mes,despacho_ano,limite_dia,limite_mes,limite_ano,origen_latitude,origen_longitude,destino_latitude,destino_longitude
guia_101_despacho,bogota,medellin,en_bodega,1200,4,6,2026,10,6,2026,4.711,-74.0721,6.2442,-75.5812
guia_102_transporte,cali,barranquilla,en_transito,2100,1,6,2026,5,6,2026,3.4516,-76.532,10.9685,-74.7813
guia_103_critica,bogota,cartagena,en_novedad,32000,2,6,2026,9,6,2026,4.711,-74.0721,10.391,-75.4794
guia_104_fraude,medellin,bucaramanga,en_novedad,5500,3,6,2026,8,6,2026,6.2442,-75.5812,7.1254,-73.1198
guia_105_estrella,pereira,bogota,entregado,950,4,6,2026,8,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_106,bogota,bucaramanga,entregado,2089,4,6,2026,10,6,2026,4.711,-74.0721,7.1254,-73.1198
guia_107,bogota,pereira,en_bodega,1882,5,6,2026,14,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_108,barranquilla,medellin,en_bodega,4510,5,6,2026,11,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_109,barranquilla,bucaramanga,en_novedad,2892,4,6,2026,13,6,2026,10.9685,-74.7813,7.1254,-73.1198
guia_110,bogota,barranquilla,entregado,2838,5,6,2026,14,6,2026,4.711,-74.0721,10.9685,-74.7813
guia_111,barranquilla,medellin,entregado,3887,2,6,2026,8,6,2026,10.9685,-74.7813,6.2442,-75.5812
guia_112,barranquilla,cartagena,entregado,2916,6,6,2026,13,6,2026,10.9685,-74.7813,10.391,-75.4794
guia_113,bogota,cali,preparacion,3300,3,6,2026,12,6,2026,4.711,-74.0721,3.4516,-76.532
guia_114,pereira,medellin,preparacion,2338,4,6,2026,12,6,2026,4.8133,-75.6961,6.2442,-75.5812
guia_115,bogota,pereira,en_transito,590,4,6,2026,13,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_116,cartagena,medellin,entregado,3565,5,6,2026,11,6,2026,10.391,-75.4794,6.2442,-75.5812
guia_117,barranquilla,bogota,preparacion,1978,5,6,2026,8,6,2026,10.9685,-74.7813,4.711,-74.0721
guia_118,cali,bucaramanga,en_transito,1101,5,6,2026,12,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_119,pereira,medellin,entregado,841,5,6,2026,11,6,2026,4.8133,-75.6961,6.2442,-75.5812
guia_120,pereira,bogota,en_novedad,2681,3,6,2026,13,6,2026,4.8133,-75.6961,4.711,-74.0721
guia_121,cartagena,medellin,en_novedad,831,1,6,2026,11,6,2026,10.391,-75.4794,6.2442,-75.5812
guia_122,cali,bucaramanga,en_bodega,1351,4,6,2026,8,6,2026,3.4516,-76.532,7.1254,-73.1198
guia_123,medellin,cali,preparacion,4210,2,6,2026,14,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_124,bogota,pereira,en_novedad,3463,6,6,2026,11,6,2026,4.711,-74.0721,4.8133,-75.6961
guia_125,medellin,cartagena,en_bodega,780,5,6,2026,12,6,2026,6.2442,-75.5812,10.391,-75.4794
guia_126,medellin,cali,en_transito,1262,6,6,2026,10,6,2026,6.2442,-75.5812,3.4516,-76.532
guia_127,bucaramanga,cartagena,en_novedad,1886,1,6,2026,12,6,2026,7.1254,-73.1198,10.391,-75.4794
